task,algorithm,seed,num_samples,cost,wall_time_s,status,error
pendulum,ps,0,64,2.2171905040740967,0.741889238357544,ok,
pendulum,ps,1,64,2.5419833660125732,0.6991190910339355,ok,
pendulum,ps,2,64,5.321913242340088,0.6701407432556152,ok,
pendulum,ps,3,64,0.007961557246744633,0.7565572261810303,ok,
pendulum,ps,4,64,11.000772476196289,0.6789803504943848,ok,
pendulum,ps,5,64,2.905858278274536,0.6729228496551514,ok,
pendulum,ps,6,64,2.6239850521087646,0.6608710289001465,ok,
pendulum,ps,7,64,2.2121846675872803,0.6746921539306641,ok,
pendulum,ps,8,64,2.1196913719177246,0.7520010471343994,ok,
pendulum,ps,9,64,9.48791217803955,0.6731247901916504,ok,
pendulum,mppi,0,64,2.4352645874023438,0.6843721866607666,ok,
pendulum,mppi,1,64,2.6851963996887207,0.6679365634918213,ok,
pendulum,mppi,2,64,5.473507404327393,0.6540126800537109,ok,
pendulum,mppi,3,64,0.011133111082017422,0.684110164642334,ok,
pendulum,mppi,4,64,11.80591106414795,0.6802852153778076,ok,
pendulum,mppi,5,64,2.9564313888549805,0.6920871734619141,ok,
pendulum,mppi,6,64,2.746983289718628,0.696216344833374,ok,
pendulum,mppi,7,64,2.392756223678589,0.6736280918121338,ok,
pendulum,mppi,8,64,2.2729742527008057,0.6836483478546143,ok,
pendulum,mppi,9,64,10.846992492675781,0.6555073261260986,ok,
pendulum,cem,0,64,2.342240810394287,2.80057692527771,ok,
pendulum,cem,1,64,2.727787494659424,0.7052097320556641,ok,
pendulum,cem,2,64,5.57567834854126,0.7081258296966553,ok,
pendulum,cem,3,64,0.04973210021853447,0.6863367557525635,ok,
pendulum,cem,4,64,11.20068073272705,0.6947810649871826,ok,
pendulum,cem,5,64,3.040715217590332,0.7109570503234863,ok,
pendulum,cem,6,64,2.6717402935028076,0.6962816715240479,ok,
pendulum,cem,7,64,2.2378103733062744,0.702709436416626,ok,
pendulum,cem,8,64,2.141023635864258,0.7060816287994385,ok,
pendulum,cem,9,64,10.498461723327637,0.6866319179534912,ok,
pendulum,dial,0,64,2.5683352947235107,2.492347240447998,ok,
pendulum,dial,1,64,2.864529609680176,0.68817138671875,ok,
pendulum,dial,2,64,6.120443344116211,0.694570779800415,ok,
pendulum,dial,3,64,0.02414627932012081,0.6721909046173096,ok,
pendulum,dial,4,64,11.279687881469727,0.687129020690918,ok,
pendulum,dial,5,64,5.718730926513672,0.6718995571136475,ok,
pendulum,dial,6,64,2.852647304534912,0.6779348850250244,ok,
pendulum,dial,7,64,2.472519874572754,0.7540848255157471,ok,
pendulum,dial,8,64,2.2882838249206543,0.6668479442596436,ok,
pendulum,dial,9,64,10.855081558227539,0.6738173961639404,ok,
pendulum,cmaes,0,64,2.272833824157715,4.3275933265686035,ok,
pendulum,cmaes,1,64,2.6834025382995605,2.052253007888794,ok,
pendulum,cmaes,2,64,5.644334316253662,1.9312314987182617,ok,
pendulum,cmaes,3,64,0.0007937542977742851,2.0665550231933594,ok,
pendulum,cmaes,4,64,8.6290283203125,2.043748378753662,ok,
pendulum,cmaes,5,64,5.325563430786133,1.936405897140503,ok,
pendulum,cmaes,6,64,2.6542205810546875,1.9632225036621094,ok,
pendulum,cmaes,7,64,2.3278968334198,2.0840506553649902,ok,
pendulum,cmaes,8,64,2.234027147293091,2.0722365379333496,ok,
pendulum,cmaes,9,64,11.086398124694824,1.9911346435546875,ok,
pendulum,mppi_cma,0,64,2.4917333126068115,2.626166343688965,ok,
pendulum,mppi_cma,1,64,2.786306142807007,0.692530632019043,ok,
pendulum,mppi_cma,2,64,8.692813873291016,0.6826074123382568,ok,
pendulum,mppi_cma,3,64,0.038073696196079254,0.6882553100585938,ok,
pendulum,mppi_cma,4,64,11.65456771850586,0.6902954578399658,ok,
pendulum,mppi_cma,5,64,3.0910892486572266,0.8073997497558594,ok,
pendulum,mppi_cma,6,64,2.7786903381347656,0.6823744773864746,ok,
pendulum,mppi_cma,7,64,2.46726655960083,0.6822264194488525,ok,
pendulum,mppi_cma,8,64,2.3020553588867188,0.7975656986236572,ok,
pendulum,mppi_cma,9,64,11.59787654876709,0.7013320922851562,ok,
pendulum,er_cma,0,64,2.381540536880493,0.6988222599029541,ok,
pendulum,er_cma,1,64,2.695797920227051,0.6873748302459717,ok,
pendulum,er_cma,2,64,6.292909622192383,0.6950840950012207,ok,
pendulum,er_cma,3,64,0.040227148681879044,0.7040021419525146,ok,
pendulum,er_cma,4,64,11.577535629272461,0.6945178508758545,ok,
pendulum,er_cma,5,64,2.98405385017395,0.6865758895874023,ok,
pendulum,er_cma,6,64,2.739802122116089,0.6843476295471191,ok,
pendulum,er_cma,7,64,2.3894855976104736,0.7922995090484619,ok,
pendulum,er_cma,8,64,2.308424472808838,0.6950256824493408,ok,
pendulum,er_cma,9,64,10.829465866088867,0.6851062774658203,ok,
particle,ps,0,64,0.2644478678703308,4.086133241653442,ok,
particle,ps,1,64,0.046434056013822556,0.9004039764404297,ok,
particle,ps,2,64,0.19598406553268433,0.9187464714050293,ok,
particle,ps,3,64,0.10341545194387436,0.9212303161621094,ok,
particle,ps,4,64,0.15222877264022827,0.9133412837982178,ok,
particle,ps,5,64,0.16354981064796448,0.9235692024230957,ok,
particle,ps,6,64,0.052781954407691956,0.9503228664398193,ok,
particle,ps,7,64,0.1906956136226654,1.0547988414764404,ok,
particle,ps,8,64,0.40083372592926025,0.9384615421295166,ok,
particle,ps,9,64,0.050515588372945786,0.9300899505615234,ok,
particle,mppi,0,64,0.4008657932281494,4.113356828689575,ok,
particle,mppi,1,64,0.18183819949626923,0.9629557132720947,ok,
particle,mppi,2,64,0.2653025686740875,0.9857711791992188,ok,
particle,mppi,3,64,0.13107331097126007,0.955857515335083,ok,
particle,mppi,4,64,0.2959004044532776,0.9326112270355225,ok,
particle,mppi,5,64,0.25218161940574646,0.9515979290008545,ok,
particle,mppi,6,64,0.18915779888629913,0.9439396858215332,ok,
particle,mppi,7,64,0.3173485994338989,1.098759412765503,ok,
particle,mppi,8,64,0.6048513650894165,0.9506888389587402,ok,
particle,mppi,9,64,0.13963167369365692,0.9284803867340088,ok,
particle,cem,0,64,0.2868686020374298,4.4001624584198,ok,
particle,cem,1,64,0.03085019439458847,0.9388866424560547,ok,
particle,cem,2,64,0.178434357047081,0.9681055545806885,ok,
particle,cem,3,64,0.09844384342432022,0.9838855266571045,ok,
particle,cem,4,64,0.1310354620218277,0.9889166355133057,ok,
particle,cem,5,64,0.13225328922271729,0.9430580139160156,ok,
particle,cem,6,64,0.0357409305870533,0.9509243965148926,ok,
particle,cem,7,64,0.1866850107908249,0.9341380596160889,ok,
particle,cem,8,64,0.421501100063324,0.9453208446502686,ok,
particle,cem,9,64,0.03326474130153656,0.9445986747741699,ok,
particle,dial,0,64,0.5257524847984314,4.186114072799683,ok,
particle,dial,1,64,0.13556483387947083,0.9261701107025146,ok,
particle,dial,2,64,0.38889390230178833,0.9329538345336914,ok,
particle,dial,3,64,0.1795947551727295,0.9342098236083984,ok,
particle,dial,4,64,0.30234357714653015,0.927466630935669,ok,
particle,dial,5,64,0.28670209646224976,0.9137835502624512,ok,
particle,dial,6,64,0.16036424040794373,0.9284265041351318,ok,
particle,dial,7,64,0.39664334058761597,0.9193553924560547,ok,
particle,dial,8,64,0.9431508779525757,0.9316174983978271,ok,
particle,dial,9,64,0.15730313956737518,0.9277088642120361,ok,
particle,cmaes,0,64,0.2546188533306122,6.109236240386963,ok,
