task,algorithm,seed,num_samples,noise_level,temperature,sigma_start,sigma_min,num_elites,explore_fraction,beta_opt_iter,beta_horizon,initial_noise_level,minimum_noise_level,maximum_noise_level,covariance_adaptation_rate,initial_entropy_bonus,final_entropy_bonus,cost,wall_time_s,status,error
pendulum,ps,0,256,0.05,,,,,,,,,,,,,,10.117749214172363,0.7507822513580322,ok,
pendulum,ps,0,256,0.1,,,,,,,,,,,,,,8.91927719116211,0.6926460266113281,ok,
pendulum,ps,0,256,0.3,,,,,,,,,,,,,,8.55062198638916,0.7019026279449463,ok,
pendulum,ps,0,256,0.5,,,,,,,,,,,,,,8.115245819091797,0.6971056461334229,ok,
pendulum,ps,0,256,1.0,,,,,,,,,,,,,,7.858997821807861,0.7174174785614014,ok,
pendulum,mppi,0,256,0.1,0.01,,,,,,,,,,,,,9.993276596069336,0.6978302001953125,ok,
pendulum,mppi,0,256,0.1,0.1,,,,,,,,,,,,,11.986799240112305,0.688652753829956,ok,
pendulum,mppi,0,256,0.1,0.5,,,,,,,,,,,,,11.99763011932373,0.6896579265594482,ok,
pendulum,mppi,0,256,0.1,1.0,,,,,,,,,,,,,11.997930526733398,0.694467306137085,ok,
pendulum,mppi,0,256,0.3,0.01,,,,,,,,,,,,,8.434539794921875,0.6881592273712158,ok,
pendulum,mppi,0,256,0.3,0.1,,,,,,,,,,,,,10.357404708862305,0.6843101978302002,ok,
pendulum,mppi,0,256,0.3,0.5,,,,,,,,,,,,,11.905413627624512,0.6967692375183105,ok,
pendulum,mppi,0,256,0.3,1.0,,,,,,,,,,,,,11.951985359191895,0.773310661315918,ok,
pendulum,mppi,0,256,0.5,0.01,,,,,,,,,,,,,8.152755737304688,0.686652421951294,ok,
pendulum,mppi,0,256,0.5,0.1,,,,,,,,,,,,,8.714695930480957,0.693310022354126,ok,
pendulum,mppi,0,256,0.5,0.5,,,,,,,,,,,,,11.95938777923584,0.6981866359710693,ok,
pendulum,mppi,0,256,0.5,1.0,,,,,,,,,,,,,11.981322288513184,0.685999870300293,ok,
pendulum,mppi,0,256,1.0,0.01,,,,,,,,,,,,,7.998008728027344,0.6954851150512695,ok,
pendulum,mppi,0,256,1.0,0.1,,,,,,,,,,,,,8.442093849182129,0.6955471038818359,ok,
pendulum,mppi,0,256,1.0,0.5,,,,,,,,,,,,,11.997331619262695,0.6971597671508789,ok,
pendulum,mppi,0,256,1.0,1.0,,,,,,,,,,,,,11.9988374710083,0.6883387565612793,ok,
pendulum,cem,0,256,,,0.1,0.001,4,0.0,,,,,,,,,11.95317268371582,0.7037160396575928,ok,
pendulum,cem,0,256,,,0.1,0.001,8,0.0,,,,,,,,,11.923514366149902,0.6978964805603027,ok,
pendulum,cem,0,256,,,0.1,0.001,16,0.0,,,,,,,,,11.185072898864746,0.6918301582336426,ok,
pendulum,cem,0,256,,,0.3,0.001,4,0.0,,,,,,,,,11.336441993713379,0.7955801486968994,ok,
pendulum,cem,0,256,,,0.3,0.001,8,0.0,,,,,,,,,11.141282081604004,0.6979284286499023,ok,
pendulum,cem,0,256,,,0.3,0.001,16,0.0,,,,,,,,,11.1449556350708,0.6952908039093018,ok,
pendulum,cem,0,256,,,0.5,0.001,4,0.0,,,,,,,,,11.115630149841309,0.7083079814910889,ok,
pendulum,cem,0,256,,,0.5,0.001,8,0.0,,,,,,,,,11.122041702270508,0.6931474208831787,ok,
pendulum,cem,0,256,,,0.5,0.001,16,0.0,,,,,,,,,11.142455101013184,0.7016866207122803,ok,
pendulum,cem,0,256,,,1.0,0.001,4,0.0,,,,,,,,,11.121646881103516,0.705559492111206,ok,
pendulum,cem,0,256,,,1.0,0.001,8,0.0,,,,,,,,,11.12399673461914,0.7906677722930908,ok,
pendulum,cem,0,256,,,1.0,0.001,16,0.0,,,,,,,,,11.136772155761719,0.6985716819763184,ok,
pendulum,dial,0,256,1.0,0.01,,,,,0.5,0.5,,,,,,,9.074606895446777,0.6812093257904053,ok,
pendulum,dial,0,256,1.0,0.01,,,,,0.5,1.0,,,,,,,8.282366752624512,0.6903185844421387,ok,
pendulum,dial,0,256,1.0,0.01,,,,,0.5,2.0,,,,,,,8.070189476013184,0.6832714080810547,ok,
pendulum,dial,0,256,1.0,0.01,,,,,1.0,0.5,,,,,,,9.074606895446777,0.6869091987609863,ok,
pendulum,dial,0,256,1.0,0.01,,,,,1.0,1.0,,,,,,,8.282366752624512,0.6847324371337891,ok,
pendulum,dial,0,256,1.0,0.01,,,,,1.0,2.0,,,,,,,8.070189476013184,0.6880583763122559,ok,
pendulum,dial,0,256,1.0,0.01,,,,,2.0,0.5,,,,,,,9.074606895446777,0.6841342449188232,ok,
pendulum,dial,0,256,1.0,0.01,,,,,2.0,1.0,,,,,,,8.282366752624512,0.7066256999969482,ok,
pendulum,dial,0,256,1.0,0.01,,,,,2.0,2.0,,,,,,,8.070189476013184,0.6879186630249023,ok,
pendulum,mppi_cma,0,256,,0.01,,,,,,,1.0,0.001,,0.05,,,8.234100341796875,0.7011425495147705,ok,
pendulum,mppi_cma,0,256,,0.1,,,,,,,1.0,0.001,,0.05,,,9.010542869567871,2.5686728954315186,ok,
pendulum,mppi_cma,0,256,,0.5,,,,,,,1.0,0.001,,0.05,,,11.953906059265137,2.5008041858673096,ok,
pendulum,mppi_cma,0,256,,1.0,,,,,,,1.0,0.001,,0.05,,,11.992156982421875,2.4950594902038574,ok,
pendulum,mppi_cma,0,256,,0.01,,,,,,,1.0,0.001,,0.1,,,9.207032203674316,0.7173681259155273,ok,
pendulum,mppi_cma,0,256,,0.1,,,,,,,1.0,0.001,,0.1,,,10.407835006713867,2.4863691329956055,ok,
pendulum,mppi_cma,0,256,,0.5,,,,,,,1.0,0.001,,0.1,,,11.9152193069458,2.4939088821411133,ok,
pendulum,mppi_cma,0,256,,1.0,,,,,,,1.0,0.001,,0.1,,,11.967758178710938,2.502774715423584,ok,
pendulum,mppi_cma,0,256,,0.01,,,,,,,1.0,0.001,,0.3,,,10.193242073059082,0.7013082504272461,ok,
pendulum,mppi_cma,0,256,,0.1,,,,,,,1.0,0.001,,0.3,,,11.3819580078125,2.508143424987793,ok,
pendulum,mppi_cma,0,256,,0.5,,,,,,,1.0,0.001,,0.3,,,11.858543395996094,2.5025134086608887,ok,
pendulum,mppi_cma,0,256,,1.0,,,,,,,1.0,0.001,,0.3,,,11.925868034362793,2.498091220855713,ok,
pendulum,mppi_cma,0,256,,0.01,,,,,,,1.0,0.001,,1.0,,,11.12973403930664,0.7123680114746094,ok,
pendulum,mppi_cma,0,256,,0.1,,,,,,,1.0,0.001,,1.0,,,11.316132545471191,2.5198957920074463,ok,
pendulum,mppi_cma,0,256,,0.5,,,,,,,1.0,0.001,,1.0,,,11.929451942443848,2.5050628185272217,ok,
pendulum,mppi_cma,0,256,,1.0,,,,,,,1.0,0.001,,1.0,,,11.94766616821289,2.5077662467956543,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.05,0.0,0.1,8.234870910644531,0.7094376087188721,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.05,0.0,0.1,8.979795455932617,2.5269057750701904,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.05,0.0,0.1,11.954268455505371,2.6327998638153076,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.05,0.0,0.1,11.993305206298828,2.544912815093994,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.1,0.0,0.1,9.207343101501465,0.7129459381103516,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.1,0.0,0.1,10.407058715820312,2.5623958110809326,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.1,0.0,0.1,11.9160795211792,2.520376205444336,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.1,0.0,0.1,11.970474243164062,2.634124279022217,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.3,0.0,0.1,10.198984146118164,0.7165908813476562,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.3,0.0,0.1,11.381311416625977,2.519379138946533,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.3,0.0,0.1,11.858696937561035,2.5121421813964844,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.3,0.0,0.1,11.929917335510254,2.505307912826538,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,1.0,0.0,0.1,11.131704330444336,0.7062122821807861,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,1.0,0.0,0.1,11.315682411193848,2.5145370960235596,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,1.0,0.0,0.1,11.916797637939453,2.6114463806152344,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,1.0,0.0,0.1,11.937145233154297,2.5294666290283203,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.05,0.0,0.3,8.23437213897705,0.714104175567627,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.05,0.0,0.3,8.913461685180664,2.592998504638672,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.05,0.0,0.3,11.955246925354004,2.572746992111206,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.05,0.0,0.3,11.994967460632324,2.550865888595581,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.1,0.0,0.3,9.206449508666992,0.7081279754638672,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.1,0.0,0.3,10.404694557189941,2.553884983062744,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.1,0.0,0.3,11.918075561523438,2.57307767868042,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.1,0.0,0.3,11.976970672607422,2.5418708324432373,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.3,0.0,0.3,10.23721981048584,0.7260136604309082,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.3,0.0,0.3,11.381967544555664,2.5619757175445557,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.3,0.0,0.3,11.861488342285156,2.5354244709014893,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.3,0.0,0.3,11.940409660339355,2.55102801322937,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,1.0,0.0,0.3,11.136431694030762,0.7080059051513672,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,1.0,0.0,0.3,11.314982414245605,2.5338118076324463,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,1.0,0.0,0.3,11.890884399414062,2.5523881912231445,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,1.0,0.0,0.3,11.944299697875977,2.53739595413208,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.05,0.0,0.5,8.236757278442383,0.7086286544799805,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.05,0.0,0.5,8.842172622680664,2.5792760848999023,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.05,0.0,0.5,11.956961631774902,2.5948476791381836,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.05,0.0,0.5,11.995847702026367,2.551781177520752,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.1,0.0,0.5,9.205760955810547,0.721994161605835,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.1,0.0,0.5,10.401697158813477,2.5576272010803223,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.1,0.0,0.5,11.920663833618164,2.52785062789917,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.1,0.0,0.5,11.982739448547363,2.534968137741089,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.3,0.0,0.5,10.290937423706055,0.7135708332061768,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.3,0.0,0.5,11.385404586791992,2.626206398010254,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.3,0.0,0.5,11.867295265197754,2.529430389404297,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.3,0.0,0.5,11.951977729797363,2.5378801822662354,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,1.0,0.0,0.5,11.145166397094727,0.7133369445800781,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,1.0,0.0,0.5,11.313919067382812,2.53918194770813,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,1.0,0.0,0.5,11.875465393066406,2.5830183029174805,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,1.0,0.0,0.5,11.953794479370117,2.5346126556396484,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.05,0.1,0.1,8.215569496154785,0.7142124176025391,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.05,0.1,0.1,8.875678062438965,2.562666416168213,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.05,0.1,0.1,11.966516494750977,2.5410315990448,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.05,0.1,0.1,11.996628761291504,2.535904884338379,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.1,0.1,0.1,9.208166122436523,0.7211487293243408,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.1,0.1,0.1,10.379658699035645,2.572033166885376,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.1,0.1,0.1,11.942344665527344,2.5524330139160156,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.1,0.1,0.1,11.990032196044922,2.5447733402252197,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,0.3,0.1,0.1,9.64150619506836,0.7093682289123535,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,0.3,0.1,0.1,10.728572845458984,2.5277156829833984,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,0.3,0.1,0.1,11.901586532592773,2.585665464401245,ok,
pendulum,er_cma,0,256,,1.0,,,,,,,1.0,0.001,1.0,0.3,0.1,0.1,11.974513053894043,2.54305100440979,ok,
pendulum,er_cma,0,256,,0.01,,,,,,,1.0,0.001,1.0,1.0,0.1,0.1,9.866923332214355,0.7168862819671631,ok,
pendulum,er_cma,0,256,,0.1,,,,,,,1.0,0.001,1.0,1.0,0.1,0.1,10.538302421569824,2.549107789993286,ok,
pendulum,er_cma,0,256,,0.5,,,,,,,1.0,0.001,1.0,1.0,0.1,0.1,11.947234153747559,2.5500502586364746,ok,
